"ID","value"
1,1923536
2,1238185
3,1252023
4,797800
5,89712
6,63980
7,5145
8,4693
9,128124
10,70977
11,10609
12,9691
13,3086
14,4958
15,4419
16,417
17,2932
18,1600
19,70644
20,27864
21,8179
22,7583
23,3323
24,395426
25,286370
26,1054257
27,769557
28,318
29,1670
30,97030
31,3819
32,2490
33,8498
34,8756
35,486190
36,298687
37,1223352
38,1102366
39,32101
40,70387
41,636626
42,282306
43,61978
44,45978
45,125238
46,54747
47,29446
48,1531
49,3122517
50,2183489
51,113150
52,77377
53,139910
54,636
55,274161
56,115636
57,153959
58,103991
59,87670
60,499854
61,250287
62,10602
63,7346
64,3699
65,12156
66,1659682
67,925466
68,63906
69,51540
70,158883
71,158883
72,1261300
73,1213495
74,11673
75,12200
76,314912
77,224148
78,1988
79,1670
80,1449365
81,1054257
82,395426
83,286370
84,8179
85,7583
86,746474
87,522397
88,7919
89,4693
90,26555
91,13689
92,3573
93,4601
94,4419
95,417
96,2089
97,1880
98,511
99,751
100,333502
101,41196
102,562
103,826
104,1358878
105,1032009
106,43331
107,38041
108,25240
109,11649
110,21872
111,10942
112,2139
113,296
114,216
115,200
116,75
117,1478
118,24120
119,624750
120,460000
121,47962
122,36534
123,17255
124,13633
125,8555
126,652474
127,3079
128,20328
129,27591
130,530
131,150000
132,5781
133,5972
134,2309
135,22
136,1102366
137,441171
138,82447
139,52363
140,5569
141,3723
142,178328
143,184637
144,106865
145,44469
146,47094
147,59522
148,43054000
149,45096000
150,12996000
151,30242000
152,5027000
153,3481000
154,3206
155,2411
156,9200
157,6641
158,11219
159,5793
160,24929
161,21675
162,13424
163,9458
164,505549000
165,275403000
166,1292000
167,1515000
168,42826
169,16213
170,28449
171,13742
172,63919
173,7131
174,52072
175,4213
176,12744
177,10214
178,1538
179,9714
180,1297
181,6007
182,3017
183,4059
184,2040
185,9699
186,4360
187,7326
188,2952
189,5295000
190,2533000
191,10703
192,845
193,636
194,130745
195,693
196,229977
197,59172
198,30500
199,8000
200,17057
201,2000
202,20567
203,3233
204,6570
205,2931
206,7520
207,4268
208,29550000
209,1111
210,837
211,161
212,1047
213,240
214,234
215,8000
216,4670
217,281
218,8340
219,13227
220,12
221,1519
222,3699
223,12156
224,562
225,826
226,1478
227,24120
228,5972
229,1478000
230,618000
231,8717000
232,7100000
233,6326000
234,2388
235,162
236,3228
237,143
238,5363
239,10058
240,1172
241,10905
242,9000
243,1956
244,7100
245,200
246,8831000
247,877000
248,2e+06
249,2e+06
250,5e+06
251,5e+06
252,147908
253,15.6
254,1.95e+08
255,187177375
256,187187000
257,530000
258,160
259,132000
260,6022
261,404
262,486
263,1068
264,164577
265,1294
266,128122
267,50594
268,40121
269,198849
270,1211
271,4000
272,2000
273,5000
274,2196
275,1363000
276,6974000
277,2638469000
278,33269000
279,1990566
280,17.49
281,2.3e+08
282,53846000
283,212328000
284,55419
285,184
286,578
287,225
288,131452
289,3746
290,1567
291,4916
292,13026
293,1799
294,45749
295,53912
296,33328
297,39833
298,608
299,127681
300,966000
301,8515000
302,27246000
303,496000
304,87670
305,87670
306,399517
307,212330
308,6e+05
309,303059
310,289560
311,379527
312,369306
313,24334
314,46755
315,33400
316,87670
317,3e+08
318,113290070
319,13687500
320,567000
321,3e+08
322,212330000
323,87670000
324,187187000
325,8588000
326,42820000
327,6e+08
328,7615000
329,3e+08
330,49.2974
331,4.5e+07
332,3.45e+08
333,272621000
334,72379000
335,3.45e+08
336,70462000
337,9135000
338,32024000
339,4.6e+08
340,47.2619
341,368893000
342,91107000
343,4.6e+08
344,13564000
345,30855000
346,1264000
347,24334
348,939
349,2.5e+07
350,24750000
351,97077922
352,23811000
353,939000
354,1160000
355,242129062
356,1213495
357,183119072
358,539315
359,2138474
360,35501
361,59009990
362,674180
363,1473353
364,8555
365,3749
366,1484925319
367,1434952367
368,2659990
369,21706000
370,34500000
371,4500000
372,11
373,379500000
374,15864000
375,21850000
376,2850000
377,16.8
378,367080000
379,345318000
380,16791000
381,1473353
382,8555000
383,1990566
384,2638469000
385,33269000
386,59000
387,147908
388,15.6
389,1e+07
390,9209102
391,790898
392,216143
393,654618
394,17.41
395,19.56
396,1932000
397,2219000
398,187289
399,28854
400,19.56
401,17.41
402,75000
403,75000
404,504618
405,10.12
406,8200
407,8010
408,3222000
409,4601000
410,4118626
411,8590
412,3464008
413,8650
414,216143
415,19.27
416,654618
417,8270
418,1473353
419,5900
420,2183862
421,2945676
422,70925
423,70925
424,750000
425,750000
426,517265
427,130854
428,386411
429,50000
430,50000
431,1055002
432,1055002
433,2081
434,2081
435,103854
436,50000
437,53854
438,312289
439,125000
440,187289
441,351000
442,87000
443,22380
444,520000
445,12200
446,7599
447,3222
448,4601
449,3749
450,224148
451,211831
452,90764
453,12317
454,314912
455,217882
456,8756
457,6266
458,8756
459,97030000
460,3819000
461,1670
462,318
463,1670
464,48298
465,30847
466,3961
467,3961
468,6074
469,6715
470,1403
471,4348
472,7779
473,54759
474,39977
475,63906
476,69305
477,29267
478,1403
479,1403
480,64
481,454568
482,306651
483,140916
484,101195
485,924
486,5154
487,924
488,5134
489,66526
490,26400
491,136798
492,99711
493,1031
494,14406
495,21907
496,16743
497,2372
498,21834
499,46895
500,67417000
501,36576000
502,156941000
503,98863000
504,96605000
505,3378000
506,7574000
507,387247
508,244193
509,278787
510,205980
511,1188
512,1435
513,32024
514,17008
515,30456
516,17008
517,30855
518,21740
519,1264
520,893
521,32024
522,17008
523,30456
524,17008
525,1264
526,893
527,345793
528,59351
529,3307
530,3682
531,68751
532,31358
533,82218
534,53639
535,2131
536,444
537,123233000
538,39273000
539,4527000
540,1255453
541,1172753
542,643420
543,338421
544,17059
545,2212997
546,1168025
547,8459
548,8459000
549,90432000
550,87670000
551,92054000
552,87670000
553,460443000
554,399517000
555,231334000
556,212330000
557,608250000
558,6e+08
559,466397000
560,303059000
561,407747000
562,289560000
563,604038000
564,379527000
565,502838000
566,369306000
567,31250000
568,24334000
569,27400000
570,4840000
571,646.1
572,621.2
573,1.1e+09
574,1.1e+09
575,1e+07
576,1e+07
577,620800000
578,4100000
579,113000
580,113000
581,137300000
582,58200000
583,3.3e+09
584,1.5e+09
585,254604000
586,108327000
587,69637000
588,9351000
589,1223352000
590,153959
591,311686
592,87670
593,345000
594,424517
595,1060000
596,121544
597,225860
598,139798
599,86548
600,107400000
601,153959000
602,1747352000
603,3198121000
604,1.4e+09
605,1401172
606,451371
607,2647
608,67339
609,1007
610,620246
611,15826
612,8715
613,6559
614,44142
615,8340
616,161
617,82
618,39
619,626
620,178
621,9684
622,1121
623,2327
624,722
625,1161
626,122793
627,557
628,386
629,5786
630,263
631,927
632,63203
633,4747
634,450
635,833
636,1411
637,9858
638,130052
639,746474
640,1657828
641,551
642,31728
643,215088
644,1944
645,954194
646,233540
647,4381
648,46070
649,412410
650,6611
651,10328
652,36981
653,13227
654,5644
655,166
656,543
657,960
658,8022
659,841
660,1654
661,763
662,67719
663,390
664,221
665,3655
666,427
667,26087
668,1945
669,695
670,863
671,2477598
672,215059
673,196726
674,1074516
675,636
676,521889
677,1053191
678,472
679,17145
680,1026
681,1872286000
682,1229842000
683,51250000
684,9454000
685,3055004000
686,96454000
687,67513000
688,12755000
689,76472000
690,51600000
691,15450000
692,85460000
693,8793000
694,193987000
695,26687000
696,28491
697,11405
698,10377
699,9140
700,7123
701,177260
702,1500000
703,913480
704,6e+05
705,168722
706,4e+05
707,226300
708,926507000
709,2e+05
710,190300
711,925929000
712,150000
713,127000
714,646562000
715,2e+05
716,59700
717,269117000
718,150000
719,22200
720,122855000
721,8242000
722,7569000
723,7632000
724,6958000
725,5.5e+07
726,21706000
727,25755000
728,2638469000
729,3.3e+07
730,2.5e+07
731,24750000
732,7.1e+07
733,252
734,306
735,599
736,767
737,96
738,123
739,221
740,232
741,146
742,174
743,455
744,553
745,42
746,64
747,118
748,171
749,50
750,100
751,325
752,365
753,157
754,188
755,475
756,581
757,12401
758,9336
759,40450
760,58270
761,83
762,101
763,107
764,163
765,12
766,17
767,17
768,23
769,1261524
770,1207281
771,1040916
772,1270954
