V1,y1,y2,y3,y4,y5,y6,y7,y8,x1,x2,x3
1,2.5,0,3.33333,0,1.25,0,3.72636,3.33333,4.44265,3.63759,2.55762
2,1.25,0,3.33333,0,6.25,1.1,6.66667,0.736999,5.3845,5.06259,3.56808
3,7.5,8.8,10,9.19999,8.75,8.09406,10,8.21181,5.96101,6.25575,5.22443
4,8.9,8.8,10,9.19999,8.90795,8.12798,10,4.61509,6.286,7.56786,6.2675
5,10,3.33333,10,6.66667,7.5,3.33333,10,6.66667,5.86363,6.81892,4.57368
6,7.5,3.33333,6.66667,6.66667,6.25,1.1,6.66667,0.3685,5.53339,5.1358,3.89227
7,7.5,3.33333,6.66667,6.66667,5,2.23333,8.27126,1.48517,5.30827,5.07517,3.31621
8,7.5,2.23333,10,1.49633,6.25,3.33333,10,6.66667,5.34711,4.85203,4.26318
9,2.5,3.33333,3.33333,3.33333,6.25,3.33333,3.33333,3.33333,5.52146,5.24175,4.11517
10,10,6.66667,10,8.89999,8.75,6.66667,10,10,5.82895,5.37064,4.44622
11,7.5,3.33333,10,6.66667,8.75,3.33333,10,6.66667,5.9162,6.42325,3.79155
12,7.5,3.33333,6.66667,6.66667,8.75,3.33333,6.66667,6.66667,5.39816,6.24611,4.53571
13,7.5,3.33333,10,6.66667,7.5,3.33333,6.66667,10,6.62274,7.87207,4.90615
14,7.5,7.76666,10,6.66667,7.5,0,10,0,5.20401,5.22575,4.56105
15,7.5,10,3.33333,10,7.5,6.66667,10,10,5.50939,6.20254,4.58629
16,7.5,10,10,7.76667,7.5,1.1,6.66667,6.66667,5.26269,5.82008,3.94891
17,2.5,3.33333,6.66667,6.66667,5,1.1,6.66667,0.3685,4.70048,5.02388,4.39449
18,1.25,0,3.33333,3.33333,1.25,3.33333,3.33333,3.33333,5.20949,4.46591,4.51027
19,10,10,10,10,8.75,10,10,10,5.9162,6.73221,5.82908
20,7.5,3.3333,3.33333,6.66667,7.5,2.2333,6.66667,2.94816,6.52356,6.9921,6.42459
21,10,10,10,10,10,10,10,10,6.23832,6.74641,5.74171
22,1.25,0,0,0,2.5,0,0,0,5.97635,6.71296,5.94817
23,2.5,0,3.33333,3.33333,2.5,0,3.33333,3.33333,5.63121,5.93754,5.68675
24,7.5,6.66667,10,10,7.5,6.66667,10,7.76667,6.03309,6.09357,4.61143
25,8.5,10,6.66667,6.66667,8.75,10,7.35102,6.66667,6.19644,6.70441,5.47526
26,6.1,0,5.4,3.33333,0,0,4.69603,3.33333,4.2485,2.70805,1.74083
27,3.3,0,6.66667,3.33333,6.25,0,6.66667,3.33333,5.14166,4.56435,2.25513
28,2.9,3.33333,6.66667,3.33333,2.38556,0,3.17757,1.11667,4.17439,3.68888,3.04693
29,9.2,0,9.9,3.33333,7.60966,0,8.11883,3.33333,4.38203,2.89037,1.71128
30,6.9,0,6.66667,3.33333,4.22603,0,0,0,4.29046,1.60944,1.00167
31,2.9,0,3.33333,3.33333,5,0,3.33333,3.33333,4.93447,4.23411,1.41897
32,2,0,0,0,0,0,0,0,3.85015,1.94591,2.34523
33,5,0,3.33333,3.33333,5,0,3.33333,3.33333,5.18178,4.39445,3.16717
34,5,0,10,3.33333,0,0,3.33333,0.74437,5.06259,4.59512,3.83497
35,4.1,10,4.7,6.66667,3.75,0,7.82767,6.66667,4.69135,4.14314,2.25513
36,6.3,10,10,6.66667,6.25,2.23333,6.66667,2.9557,4.2485,3.3673,3.21751
37,5.2,5,6.6,3.33333,3.6334,1.1,3.31413,3.33333,5.56452,5.23644,2.67763
38,5,3.33333,6.4,6.66667,2.845,0,4.42966,1.48517,4.72739,3.61092,1.41897
39,3.1,5,4.2,5,3.75,0,6.1643,3.33333,4.14314,2.30259,1.41897
40,4.1,10,6.66667,3.33333,5,0,4.93809,2.23333,4.31749,4.95583,4.24989
41,5,10,6.66667,1.66667,5,0,6.66667,0.3685,5.14166,4.43082,3.04693
42,5,7.7,6.66667,8.4,6.25,4.35824,10,4.14138,4.48864,3.46574,2.01358
43,5,6.2,10,6.061,5,2.78277,6.66667,4.97474,4.61512,4.94164,2.25513
44,5.6,4.9,0,0,6.55565,4.05546,6.66667,3.8218,3.85015,2.3979,1.74083
45,5.7,4.8,0,0,6.55565,4.05546,0,0,3.97029,2.3979,1.05074
46,7.5,10,7.9,6.66667,3.75,10,7.63189,6.66667,3.78419,3.09104,2.11331
47,2.5,0,6.66667,3.33333,2.5,0,0,0,3.80666,2.07944,2.13756
48,8.9,10,9.7,6.66667,5,10,9.55602,6.66667,4.5326,3.61092,1.5878
49,7.6,0,10,0,5,1.1,6.66667,1.1,5.11799,4.93447,3.83497
50,7.8,10,6.66667,6.66667,5,3.33333,6.66667,6.66667,5.04986,5.11199,4.38149
51,2.5,0,6.66667,3.33333,5,0,6.66667,3.33333,5.39363,5.63835,4.16945
52,3.8,0,5.1,0,3.75,0,6.66667,1.48517,4.47734,3.93183,2.47467
53,5,3.33333,3.33333,2.23333,5,3.33333,6.66667,5.56666,5.25749,5.84064,5.0018
54,6.25,3.33333,10,2.9557,6.25,5.56666,10,6.66667,5.3799,5.50533,3.29994
55,1.25,0,3.33333,0,2.5,0,0,0,5.29832,6.27476,4.38149
56,1.25,0,4.7,0.736999,2.5,0,3.33333,3.33333,4.85981,5.66988,3.53742
57,1.25,0,6.66667,0,2.5,0,5.22837,0,4.96981,5.56452,4.51027
58,7.5,7.76666,10,6.66667,7.5,3.33333,10,6.66667,6.01127,6.25383,5.0018
59,2.5,0,6.66667,4.43333,5,0,6.66667,1.48517,5.07517,5.25227,5.35071
60,7.5,10,10,10,8.75,10,10,10,6.73697,7.12528,6.33052
61,1.25,0,0,0,1.25,0,0,0,5.22575,5.45104,3.16717
62,1.25,0,0,0,0,0,0,0,4.02535,1.79176,2.65797
63,2.5,0,0,0,0,0,6.66667,2.94816,4.23411,2.70805,2.47467
64,6.25,2.2333,6.66667,2.97033,3.75,3.3333,6.66667,3.33333,4.64439,5.56452,3.04693
65,7.5,10,10,10,7.5,10,10,10,4.41884,4.94164,3.38065
66,5,0,6.1,0,5,3.33333,10,3.33333,4.26268,4.21951,4.36846
67,7.5,10,10,10,3.75,10,10,10,4.8752,4.70048,3.83497
68,4.9,2.23333,10,0,5,0,3.62199,3.33333,4.18966,1.38629,1.41897
69,5,0,8.2,0,5,0,0,0,4.52179,4.12713,2.11331
70,2.9,3.33333,6.66667,3.33333,2.5,3.33333,6.66667,3.33333,4.65396,3.55535,1.88192
71,5.4,10,6.66667,3.33333,3.75,6.66667,6.66667,1.48517,4.47734,3.09104,1.98791
72,7.5,8.8,10,6.06667,7.5,6.66667,10,6.66667,5.33754,5.63121,3.491
73,7.5,7,10,6.853,7.5,6.34834,6.66667,7.50804,6.12905,6.40357,5.0018
74,10,6.66667,10,10,10,6.66667,10,10,5.00395,4.96284,3.97699
75,3.75,3.33333,0,0,1.25,3.33333,0,0,4.48864,4.89784,2.86757