WindDirection,Month
297,July
275,July
278,July
253,July
234,July
296,July
228,July
261,July
231,July
257,July
286,July
225,July
233,July
288,July
263,July
230,July
281,July
249,July
210,July
258,July
292,August
82,August
7,August
343,August
12,August
285,August
178,August
210,August
147,August
212,August
201,August
288,August
317,August
11,August
2,August
132,August
283,August
275,August
314,August
114,August
54,September
199,September
137,September
126,September
128,September
235,September
59,September
147,September
314,September
164,September
225,September
163,September
165,September
97,September
139,September
118,September
130,September
153,September
159,September
163,September