V1,id,sex,ageyr,agemo,school,grade,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,1,1,13,1,Pasteur,7,3.3333333,7.75,0.375,2.3333333,5.75,1.2857143,3.3913043,5.75,6.3611111
2,2,2,13,7,Pasteur,7,5.3333333,5.25,2.125,1.6666667,3,1.2857143,3.7826087,6.25,7.9166667
3,3,2,13,1,Pasteur,7,4.5,5.25,1.875,1,1.75,0.42857143,3.2608696,3.9,4.4166667
4,4,1,13,2,Pasteur,7,5.3333333,7.75,3,2.6666667,4.5,2.4285714,3,5.3,4.8611111
5,5,2,12,2,Pasteur,7,4.8333333,4.75,0.875,2.6666667,4,2.5714286,3.6956522,6.3,5.9166667
6,6,2,14,1,Pasteur,7,5.3333333,5,2.25,1,3,0.85714286,4.3478261,6.65,7.5
7,7,1,12,1,Pasteur,7,2.8333333,6,1,3.3333333,6,2.8571429,4.6956522,6.2,4.8611111
8,8,2,12,2,Pasteur,7,5.6666667,6.25,1.875,3.6666667,4.25,1.2857143,3.3913043,5.15,3.6666667
9,9,2,13,0,Pasteur,7,4.5,5.75,1.5,2.6666667,5.75,2.7142857,4.5217391,4.65,7.3611111
10,11,2,12,5,Pasteur,7,3.5,5.25,0.75,2.6666667,5,2.5714286,4.1304348,4.55,4.3611111
11,12,1,12,2,Pasteur,7,3.6666667,5.75,2,2,3.5,1.5714286,3.7391304,5.7,4.3055556
12,13,1,12,11,Pasteur,7,5.8333333,6,2.875,2.6666667,4.5,2.7142857,3.6956522,5.15,4.1388889
13,14,2,12,7,Pasteur,7,5.6666667,4.5,4.125,2.6666667,4,2.2857143,5.8695652,5.2,5.8611111
14,15,2,12,8,Pasteur,7,6,5.5,1.75,4.6666667,4,1.5714286,5.1304348,4.7,4.4444444
15,16,1,12,6,Pasteur,7,5.8333333,5.75,3.625,5,5.5,3,4,4.35,5.8611111
16,17,2,12,1,Pasteur,7,4.6666667,4.75,2.375,2.6666667,4.25,0.71428571,4.0869565,3.8,5.1388889
17,18,2,14,11,Pasteur,7,4.3333333,4.75,1.5,2,4,1.2857143,3.6956522,6.65,5.25
18,19,1,13,5,Pasteur,7,5,6.75,2.25,2,2.5,1.7142857,4,5.25,5.4444444
19,20,2,12,8,Pasteur,7,5.6666667,5.25,4,4.3333333,5.25,3.7142857,3.9130435,4.85,5.75
20,21,2,12,3,Pasteur,7,6.3333333,8.75,3,3.6666667,3.75,2.5714286,3.4782609,5.35,4.9166667
21,22,1,14,10,Pasteur,7,5.8333333,8,2,1.6666667,2.5,0.57142857,2.6086957,4.6,5.3888889
22,23,1,12,9,Pasteur,7,6.6666667,8.5,4.125,2,3.25,2.1428571,4.4782609,5.45,7
23,24,1,12,11,Pasteur,7,5,6.25,1.875,3.3333333,5.75,3.1428571,3.4782609,4.6,5
24,25,2,12,8,Pasteur,7,3.8333333,5.5,1.625,2.6666667,3,1,5.826087,5.3,6.7777778
25,26,1,12,3,Pasteur,7,5.6666667,5.5,1.25,2.3333333,3.75,1.2857143,4.6956522,4.6,4.1388889
26,27,1,12,7,Pasteur,7,5.3333333,4,3.375,1.6666667,3.5,1.4285714,5.7391304,6.25,4.3333333
27,28,1,12,8,Pasteur,7,5.5,5.25,4.5,2.6666667,2.25,0.71428571,4.1304348,5.1,4.5277778
28,29,2,13,2,Pasteur,7,6,5,2.125,1.6666667,3,1.1428571,2.826087,5.55,4.4166667
29,30,2,12,5,Pasteur,7,4.6666667,6,4.25,2,3,2,5.1304348,5.85,8.6111111
30,31,2,12,2,Pasteur,7,5,4.5,0.75,2.6666667,3.25,1.8571429,4.6521739,4.85,5.4444444
31,33,2,12,7,Pasteur,7,3.5,5.75,1.375,2,3.5,1.8571429,4.826087,6.95,5.9722222
32,34,1,16,0,Pasteur,7,3,6,0.25,1.6666667,3,1,2.0434783,3.65,3.3611111
33,35,2,12,2,Pasteur,7,5,5.25,1.75,2.6666667,5.25,2,2.6956522,4.3,4.8055556
34,36,2,12,3,Pasteur,7,4.1666667,6,2.375,3.3333333,4.25,1.8571429,5.3913043,4.35,5.6388889
35,38,2,13,3,Pasteur,7,3.3333333,3.75,1.5,1.3333333,3,0.85714286,2.7826087,5.2,4.8333333
36,39,1,13,10,Pasteur,7,4.8333333,5.25,0.5,1.6666667,4.75,1.4285714,3.1304348,3.75,4.9166667
37,40,1,12,9,Pasteur,7,5.5,7,3.5,2.6666667,4,2,3.826087,4,5.3055556
38,41,2,12,8,Pasteur,7,3.8333333,4.5,2.25,3,3,1.7142857,4.0869565,3.5,5.0833333
39,42,2,12,6,Pasteur,7,6.3333333,4,3.875,4,5.25,3.2857143,5.5217391,5.45,5.1111111
40,43,1,12,5,Pasteur,7,5.8333333,7.75,2.5,3,5.25,3.1428571,3.2173913,4.5,4.8888889
41,44,2,12,1,Pasteur,7,3.8333333,5.75,1.625,2.6666667,4.25,2.1428571,4.9130435,5.1,4.6388889
42,45,2,13,6,Pasteur,7,3.1666667,5,1.25,1.6666667,4.25,1.5714286,2.826087,5.3,4.7777778
43,46,2,13,8,Pasteur,7,1.8333333,5.25,1,1.6666667,3.75,0.57142857,3.9565217,4.75,2.7777778
44,47,1,14,8,Pasteur,7,4.1666667,5.25,1.875,2,3,1.4285714,3.9565217,5.6,6.6666667
45,48,1,14,2,Pasteur,7,6.3333333,5.5,2.75,4.6666667,5.5,2,5.3913043,5,6.8611111
46,49,1,13,7,Pasteur,7,6,5.5,4.5,3,4.25,1.2857143,4.826087,5,5
47,50,1,13,5,Pasteur,7,7.1666667,8.5,4,0.66666667,1,1,3.3478261,6.35,6.2777778
48,51,2,13,6,Pasteur,7,3.1666667,4.75,1.375,2.6666667,3.25,1.2857143,6.1304348,8,5.4444444
49,52,1,12,11,Pasteur,7,4.3333333,5.5,2.75,2,2.25,1,5.6521739,5.9,6.0555556
50,54,2,13,2,Pasteur,7,4.5,6.25,1.125,3.6666667,5.5,2.1428571,2.5652174,4.8,5.5277778
51,55,1,13,7,Pasteur,7,5.5,5.75,3.75,1.6666667,2.25,0.14285714,2.3478261,5.05,5.5
52,56,1,12,4,Pasteur,7,7,6,2.125,2.3333333,4.5,1.4285714,3.6521739,5.15,4.7777778
53,57,1,15,7,Pasteur,7,3.8333333,7.5,3.25,0.66666667,1.5,0.14285714,3.2608696,4.2,5.3888889
54,58,1,13,4,Pasteur,7,5.1666667,4.75,1.75,3.3333333,3.5,2.1428571,3.4782609,5.1,4.1944444
55,60,1,12,8,Pasteur,7,5,6,4.125,2,4.5,2.1428571,4.173913,4.8,4.4166667
56,62,1,14,4,Pasteur,7,5.6666667,5.25,2.125,2.6666667,4.5,1.4285714,4.0434783,5.7,5.5555556
57,63,1,16,2,Pasteur,7,4,4.75,3.25,1.6666667,3,1.7142857,4.173913,5.25,5.6388889
58,64,1,13,3,Pasteur,7,5.8333333,5.25,3.875,2.6666667,5.5,2.4285714,3.4347826,5.8,4.75
59,65,2,14,0,Pasteur,7,3.8333333,6.5,2,1,2.5,1.2857143,3.3913043,4.55,4.8333333
60,66,1,15,3,Pasteur,7,4.1666667,5.75,1.75,1.3333333,3,1,3.5217391,6.15,3.9444444
61,67,2,12,5,Pasteur,7,5.3333333,5.75,3.375,4,5.5,2.5714286,5.2608696,6.2,6.1388889
62,68,2,12,9,Pasteur,7,4,6,3.625,2.6666667,5,2.1428571,4.9130435,5.35,4.7777778
63,69,2,12,10,Pasteur,7,5.3333333,6.75,1.375,1.6666667,2.5,0.71428571,2.6521739,3.85,5.3333333
64,70,2,13,11,Pasteur,7,5.3333333,5,1.25,3.3333333,4.5,2.4285714,5.5217391,5.45,5.8333333
65,71,2,13,1,Pasteur,7,3.6666667,5.75,3.625,2.6666667,5,1.4285714,3.3043478,4.5,5.0277778
66,72,2,12,11,Pasteur,7,6.5,6,2.5,3.6666667,4.5,3,5.6956522,5.4,6.3055556
67,73,1,14,11,Pasteur,7,4,9.25,4,3,3.75,1,3.6086957,5.75,6.1944444
68,74,2,13,0,Pasteur,7,4.6666667,5.75,3.625,2.6666667,2.75,1.8571429,3.8695652,6.1,4.25
69,75,2,13,9,Pasteur,7,2.8333333,5,0.875,3,2.5,1.5714286,6.826087,5.7,3.9166667
70,76,1,12,8,Pasteur,7,4.6666667,5,0.75,4.3333333,4,2.7142857,4.7391304,5.95,5.4166667
71,77,2,14,2,Pasteur,7,0.66666667,4.5,0.75,2,3,1,3.6086957,5.5,4.6111111
72,78,1,13,3,Pasteur,7,4.3333333,9.25,3.375,1.3333333,2.25,1.1428571,3.7391304,5.75,5.1666667
73,79,1,13,1,Pasteur,7,5,4.5,2.625,1.6666667,2.75,1.5714286,5.2608696,7.35,5.9722222
74,80,1,13,7,Pasteur,7,5,6,3.25,3.3333333,5.75,2.7142857,3.4782609,4.6,4.2777778
75,81,2,12,9,Pasteur,7,4.1666667,5.25,2.125,3,3.25,0.71428571,3.4782609,5.7,4.5833333
76,82,2,13,9,Pasteur,7,3.8333333,5.25,2.375,1.6666667,2.25,1,3.1304348,5.75,4.6666667
77,83,1,12,6,Pasteur,7,5.6666667,7,2.125,4,4.75,2.2857143,5.6521739,5.7,6.4722222
78,85,1,16,7,Pasteur,7,1.6666667,5.75,1.375,0,1.5,1.1428571,5.6956522,4,5.6388889
79,86,2,14,7,Pasteur,8,6.3333333,5.5,4.125,4,3.25,1.8571429,5.5652174,7.35,5.75
80,87,1,14,1,Pasteur,8,4,5.25,2.5,1,1.5,1.8571429,4.6956522,5.15,5.3333333
81,88,1,14,11,Pasteur,8,4.5,6,1.75,1.6666667,2,1.5714286,5.8695652,6.45,6.0277778
82,89,1,13,7,Pasteur,8,4.6666667,8,4.25,3,4.75,2.4285714,5.1304348,5.75,5.3055556
83,90,1,14,5,Pasteur,8,4.8333333,8.25,2.25,0.33333333,2.25,0.57142857,5.3478261,5.2,5.7777778
84,91,2,13,2,Pasteur,8,4.8333333,6.5,1.75,2.3333333,3.5,0.71428571,5.7826087,5.75,4.9722222
85,93,2,14,7,Pasteur,8,3,5.25,0.625,1,1.5,1,4.9565217,4.85,4.5833333
86,94,2,12,11,Pasteur,8,6.3333333,6.25,2.5,3.3333333,5.75,3.7142857,4.6086957,6.85,5.4722222
87,95,2,13,8,Pasteur,8,5.5,7,2.875,2.6666667,4,0.85714286,4.0869565,5.4,5.9722222
88,96,2,13,3,Pasteur,8,5.3333333,6,2.75,4,5,2.1428571,5.5217391,4.55,5.1388889
89,97,2,13,11,Pasteur,8,3.3333333,7.25,3.25,1.3333333,1.25,0.57142857,3.5652174,5.55,4.8888889
90,98,2,13,10,Pasteur,8,5.5,5,2.25,3.6666667,4.5,1.7142857,4.173913,5.95,6.6666667
91,99,1,13,10,Pasteur,8,4,6.5,2.625,2.6666667,2.75,1.8571429,6.6521739,7.5,5.4444444
92,100,2,14,0,Pasteur,8,3.8333333,6.25,3.375,2,3.75,0.42857143,5.3913043,7.8,6.1111111
93,101,1,15,4,Pasteur,8,5.1666667,4.75,2.125,1,2,1.5714286,3.5652174,6.4,5.7222222
94,102,1,13,8,Pasteur,8,4.3333333,3.5,0.875,2.6666667,3.25,1.1428571,3.6086957,4.8,3.9444444
95,103,1,14,10,Pasteur,8,4.1666667,5.5,0.875,4.6666667,4.75,2.1428571,4.1304348,5.35,3.7777778
96,104,1,13,8,Pasteur,8,5,5.75,4.25,4,4.25,2.4285714,3.5652174,3.6,5.4444444
97,105,1,13,4,Pasteur,8,4.3333333,4.75,0.5,3.3333333,5.75,2.8571429,5.5217391,5.85,4.2222222
98,106,2,13,2,Pasteur,8,7.5,7.5,2.125,5.3333333,6.75,2.7142857,5.1304348,5.55,7.2222222
99,108,2,13,11,Pasteur,8,5,3.75,1.375,1.6666667,2.75,1.4285714,5.5652174,6.1,4.6111111
100,109,1,13,4,Pasteur,8,5.5,6.25,2.75,3.6666667,4.5,3.2857143,4.9130435,5.15,5.75
101,110,1,15,3,Pasteur,8,6.1666667,3.75,4.375,2.6666667,3.25,1,4.2608696,5.3,6.25
102,111,2,13,10,Pasteur,8,6.5,6.5,1.875,3.6666667,3.75,1.7142857,4.5217391,4.4,6.5833333
103,112,1,13,3,Pasteur,8,4.3333333,7.75,1.875,4.3333333,4.5,1.8571429,5.8695652,6.25,4.1111111
104,113,1,13,4,Pasteur,8,4.6666667,5.25,1.625,3.3333333,4.5,2.8571429,3.826087,4.85,4.8333333
105,114,1,15,3,Pasteur,8,6.8333333,9,4.375,2.6666667,5.75,5,3,6.2,6.0277778
106,115,2,12,10,Pasteur,8,4.5,6.5,3.125,2.6666667,5.5,2.1428571,6.3478261,6.5,6.1666667
107,116,2,13,5,Pasteur,8,6.8333333,6.5,0.75,5.3333333,5.75,3.1428571,7.4347826,5.7,5.1944444
108,117,2,13,10,Pasteur,8,5.5,6.75,3.75,2.6666667,2.75,2,4.173913,6.8,7
109,118,2,14,5,Pasteur,8,6.3333333,5.5,1.625,5.6666667,5.5,4,5.6956522,6.4,7.5277778
110,119,2,13,3,Pasteur,8,4.1666667,4.25,2.25,3.3333333,3.5,1.4285714,4.4782609,4.15,3.3611111
111,120,1,13,4,Pasteur,8,5.6666667,9.25,4.375,3.6666667,4.75,3,3.2608696,3.9,4.8611111
112,121,2,13,1,Pasteur,8,6.3333333,5.25,2.625,4.3333333,4.25,1.5714286,2.8695652,6,5.4444444
113,122,1,13,4,Pasteur,8,6.1666667,6.25,4.25,5,3.5,1.8571429,4.5652174,5.35,5.4444444
114,123,2,14,0,Pasteur,8,5.1666667,6.5,1.75,4,5.25,1.8571429,4.6956522,4.3,6
115,124,1,14,5,Pasteur,8,4.1666667,7.5,3.875,1,2,0.85714286,3.5652174,3.95,6.3333333
116,125,2,13,1,Pasteur,8,4.1666667,5.75,1,3.6666667,4.75,1.8571429,4.826087,5.85,5.4166667
117,126,1,16,0,Pasteur,8,5.1666667,5.75,2.5,2.6666667,4.75,2.7142857,5.3043478,6.85,5
118,127,1,13,10,Pasteur,8,4.3333333,5.25,4,3,2.75,1,5.5652174,6.6,6.4444444
119,129,1,13,4,Pasteur,8,3.5,7.25,3.375,2.3333333,2.25,1.1428571,3.6956522,5.2,5.1666667
120,130,1,16,5,Pasteur,8,4.6666667,4.75,1.625,2.6666667,3.25,2,4.0869565,5.55,5.4444444
121,131,2,14,4,Pasteur,8,4.8333333,6,1.5,2.6666667,4.25,1.2857143,5.826087,6.4,6.8611111
122,132,1,15,1,Pasteur,8,5,5.5,2.375,3.3333333,3,2,4.6086957,6.4,3.3055556
123,133,2,14,4,Pasteur,8,7.5,7,4.25,4,6.5,3.5714286,3.7391304,7.6,6.5
124,134,2,15,8,Pasteur,8,5.3333333,5.25,4.125,2.3333333,3.75,1.5714286,3.6521739,5.35,4.7777778
125,135,1,14,5,Pasteur,8,6.1666667,6.75,4.125,3.3333333,5,2.8571429,5,6.9,6.3888889
126,136,2,15,4,Pasteur,8,5.3333333,8.75,3.125,4.3333333,4,1.1428571,4,6.95,5.6666667
127,137,2,13,11,Pasteur,8,4.3333333,7,1,4.3333333,5.5,3,5.1304348,5.65,4.9166667
128,138,2,13,11,Pasteur,8,4.8333333,7,1.125,3.3333333,5,2.2857143,4.9130435,5.25,4.9722222
129,139,2,13,4,Pasteur,8,6,7.5,3.25,3,6,2.4285714,3.3043478,5.1,5.7777778
130,140,1,14,1,Pasteur,8,5,4.5,1.625,2,2.75,0.57142857,4.5217391,6.25,6.3055556
131,142,1,13,11,Pasteur,8,4.1666667,8,4.375,4.3333333,6.25,3.1428571,4.5652174,7.8,7
132,143,2,14,1,Pasteur,8,5.6666667,5.5,3.5,4,4.25,2.2857143,7.2608696,6.35,7.1944444
133,144,2,15,3,Pasteur,8,5,6.25,1.75,1.3333333,2,0.57142857,4.9130435,6,4.8055556
134,145,2,13,6,Pasteur,8,3.5,5.25,2.25,2,3.75,1.8571429,4.6956522,5.25,3.7222222
135,146,1,14,7,Pasteur,8,7.3333333,8,2.625,2.6666667,5,2.4285714,3.4347826,6,6.1666667
136,147,1,13,4,Pasteur,8,6.1666667,7.5,3.625,4,6.25,2.5714286,4.3913043,5.85,6.1111111
137,148,1,13,10,Pasteur,8,4.8333333,5.25,4.5,4.3333333,5.75,2.8571429,3.3478261,5.1,5.4444444
138,149,1,13,2,Pasteur,8,5.6666667,6.25,2.75,3.3333333,5.25,2.1428571,4.4347826,5.15,4.5555556
139,150,2,14,2,Pasteur,8,5.5,6.75,4.5,2.3333333,4.5,2.5714286,6.2608696,6.55,6.8888889
140,151,2,14,7,Pasteur,8,5.1666667,5,2.5,3.3333333,5.75,3,6.4347826,8.3,7.0833333
141,152,2,14,0,Pasteur,8,3.1666667,3.75,1.5,3.3333333,5.75,2.2857143,6.0434783,5.25,6.2222222
142,153,2,14,9,Pasteur,8,5,7.5,4.5,2,1.5,0.42857143,3.3043478,5.25,5.7222222
143,154,1,15,0,Pasteur,8,7.1666667,9,3.875,3.6666667,5.25,4.7142857,3.826087,7.1,5.7777778
144,155,2,12,9,Pasteur,8,7.3333333,6.75,4,6,6.5,6.1428571,5.3478261,5.75,6.6111111
145,156,2,15,8,Pasteur,8,2,5.5,0.625,2.6666667,5,0.85714286,2.3913043,5.6,5.9722222
146,157,2,13,6,Pasteur,8,3.8333333,5.5,1.875,3.6666667,5,3,5.6086957,4.9,3.8611111
147,158,2,13,8,Pasteur,8,4.1666667,6,1.25,4,5,2.5714286,6.9565217,6.25,6.3055556
148,159,2,15,8,Pasteur,8,4.6666667,5.75,1.625,0.66666667,2.5,1.4285714,4.5217391,5,4.75
149,160,1,14,4,Pasteur,8,5.8333333,4.75,2.625,5.6666667,5.5,4.1428571,3.5652174,6.3,5.4722222
150,162,1,15,1,Pasteur,8,6.6666667,5.5,4.375,2.6666667,3.75,1,5.1304348,4.75,5.2222222
151,163,1,13,11,Pasteur,8,6.8333333,7.25,4.25,5,5.75,4.8571429,5.6521739,7.55,6.1666667
152,164,1,15,5,Pasteur,8,5.3333333,4.75,2.625,3,5.5,2.1428571,5.7826087,7.9,6.9444444
153,165,1,14,1,Pasteur,8,4.8333333,5,2.375,3,4.25,2.4285714,5.3913043,7.5,5.4166667
154,166,2,15,1,Pasteur,8,5.1666667,6,2.375,1.3333333,2.25,1.1428571,5.3913043,6.15,5.1944444
