Group,Subj,Score
Blue,1,1.3
Blue,2,1
Blue,3,7
Blue,4,4.2
Blue,5,5.4
Blue,6,1
Blue,7,1.6
Blue,8,2
Blue,9,2.1
Blue,10,3.5
Blue,11,1.5
Blue,12,2.4
Blue,13,6
Blue,14,4.2
Blue,15,2.6
Blue,16,1.1
Blue,17,1.1
Blue,18,3.9
Blue,19,2.2
Blue,20,5.4
Blue,21,4.3
Blue,22,2.1
Blue,23,4.8
Blue,24,4.4
Blue,25,3.1
Blue,26,2.7
Blue,27,1
Blue,28,1.2
Blue,29,7
Blue,30,3.9
Blue,31,1.4
Blue,32,3.7
Blue,33,4.5
Blue,34,1.8
Blue,35,4.5
Blue,36,1.3
Blue,37,1
Blue,38,3.3
Blue,39,2.5
Blue,40,3.7
Blue,41,4.4
Blue,42,3.5
Blue,43,1
Blue,44,2.7
Blue,45,1.4
Blue,46,1.3
Blue,47,5.6
Blue,48,6.7
Blue,49,2.8
Blue,50,1.7
Blue,51,2.9
Blue,52,2.3
Blue,53,4.3
Blue,54,3.4
Blue,55,1.2
Blue,56,3.3
Blue,57,1.9
Blue,58,4.7
Blue,59,5.8
Blue,60,1
Blue,61,5.1
Blue,62,6.4
Blue,63,2.5
Blue,64,1.6
Blue,65,3.7
Blue,66,7
Blue,67,4.1
Brown,1,2.9
Brown,2,5.7
Brown,3,3.2
Brown,4,5.5
Brown,5,1.4
Brown,6,5.3
Brown,7,4.7
Brown,8,2.3
Brown,9,1
Brown,10,5.2
Brown,11,4.2
Brown,12,6.4
Brown,13,4.5
Brown,14,3.6
Brown,15,6.1
Brown,16,3.9
Brown,17,6.6
Brown,18,4
Brown,19,7
Brown,20,5.9
Brown,21,2.5
Brown,22,1.6
Brown,23,4.8
Brown,24,2.7
Brown,25,2.1
Brown,26,2.2
Brown,27,1.1
Brown,28,1.7
Brown,29,2.8
Brown,30,4.8
Brown,31,1.8
Brown,32,1
Brown,33,3.4
Brown,34,5.1
Brown,35,3
Brown,36,3.7
Brown,37,4.1
Down,1,4.8
Down,2,1.4
Down,3,1
Down,4,4.2
Down,5,4.2
Down,6,1.3
Down,7,1.1
Down,8,5
Down,9,4.8
Down,10,2.1
Down,11,3.4
Down,12,1.5
Down,13,2.2
Down,14,1.8
Down,15,1.7
Down,16,1.9
Down,17,3
Down,18,2.7
Down,19,2.4
Down,20,1.4
Down,21,3.7
Down,22,3.2
Down,23,1.2
Down,24,5.5
Down,25,2.8
Down,26,3.6
Down,27,2.8
Down,28,5.9
Down,29,2.6
Down,30,6.2
Down,31,1.6
Down,32,4.4
Down,33,3.6
Down,34,2.2
Down,35,3.4
Down,36,3.9
Down,37,1.3
Down,38,4.5
Down,39,2.4
Down,40,6.8
Down,41,3.9
Green,1,4.6
Green,2,1.9
Green,3,2.7
Green,4,2.6
Green,5,4.4
Green,6,2.2
Green,7,3.4
Green,8,4.2
Green,9,3.5
Green,10,5.2
Green,11,5.1
Green,12,1
Green,13,7
Green,14,4.9
Green,15,1.8
Green,16,2.2
Green,17,5.9
Green,18,7
Green,19,6.3
Green,20,4.2
Green,21,2.4
Green,22,4.5
Green,23,1.6
Green,24,3.5
Green,25,4.7
Green,26,6.9
Green,27,2.4
Green,28,4.1
Green,29,3.3
Green,30,2.7
Green,31,3.3
Green,32,3.1
Green,33,2.9
Green,34,4.3
Green,35,2.9
Green,36,3.9
Green,37,1
Green,38,5.3
Green,39,1.9
Green,40,3.2
Green,41,3.5
Green,42,3.6
Green,43,4.5
Green,44,4.2
Green,45,6
Green,46,5.2
Green,47,3
Green,48,6.3
Green,49,1.3
Green,50,5.1
Green,51,4.5
Green,52,6.4
Green,53,1
Green,54,5.7
Green,55,4.9
Green,56,3.5
Green,57,5.5
Green,58,3.9
Green,59,5
Green,60,6.1
Green,61,6.6
Green,62,1.4
Green,63,5.1
Green,64,3.5
Green,65,1.8
Green,66,6.4
Green,67,1.2
Green,68,1
Green,69,3.5
Green,70,4.3
Green,71,3.6
Green,72,1.1
Green,73,6.8
Green,74,3.8
Green,75,3.2
Green,76,4.4
Green,77,2.3